1.000000	0.287268	0.019503	0.153828	0.087451	0.451950	
2.000000	0.278482	0.035128	0.154972	0.097442	0.433976	
3.000000	0.272044	0.047662	0.155609	0.105467	0.419218	
4.000000	0.267467	0.057725	0.155878	0.111918	0.407013	
5.000000	0.264356	0.065812	0.155885	0.117105	0.396842	
6.000000	0.262390	0.072318	0.155713	0.121277	0.388303	
7.000000	0.261313	0.077557	0.155423	0.124631	0.381076	
8.000000	0.260919	0.081781	0.155062	0.127327	0.374911	
9.000000	0.261045	0.085191	0.154663	0.129493	0.369608	
10.000000	0.261560	0.087947	0.154251	0.131232	0.365010	
11.000000	0.262364	0.090177	0.153843	0.132625	0.360991	
12.000000	0.263376	0.091984	0.153451	0.133741	0.357448	
13.000000	0.264532	0.093450	0.153082	0.134634	0.354303	
14.000000	0.265785	0.094641	0.152740	0.135346	0.351488	
15.000000	0.267096	0.095610	0.152429	0.135912	0.348952	
16.000000	0.268437	0.096401	0.152148	0.136362	0.346653	
17.000000	0.269785	0.097046	0.151897	0.136718	0.344555	
18.000000	0.271124	0.097573	0.151674	0.136998	0.342631	
19.000000	0.272441	0.098005	0.151479	0.137217	0.340858	
20.000000	0.273726	0.098359	0.151309	0.137388	0.339217	
